,Player,Matches,Inns,Not_outs,Runs,Ave,B_Faced,SR,Fours,Sixes
384,Misbah-ul-Haq (PAK),8,7,3,151,37.75,154,98.06,9,2
385,HD Rutherford (NZ),8,7,0,151,21.56,105,143.8,12,9
386,NM Coulter-Nile (AUS),28,15,4,150,13.63,120,125.0,10,10
387,H Singh (GER),9,8,3,150,30.0,134,111.94,7,3
388,N Pathan (THA),8,8,1,149,21.28,128,116.4,10,7
389,GD Elliott (NZ/World),16,14,3,148,13.45,127,116.5,11,2
390,AC Agar (AUS),27,13,4,147,16.33,132,111.4,11,4
391,O Bascome (BER),11,11,0,147,13.36,147,100.0,12,8
392,CD Wallace (SCOT),19,14,6,146,18.25,122,119.7,14,2
393,Mudassar Bukhari (NED),30,21,6,143,9.53,136,105.1,8,4
394,M Klinger (AUS),3,3,0,143,47.66,112,127.7,12,2
395,Amir Mangal (GER),10,10,3,142,20.28,91,156.0,11,8
396,Hassan Rasheed (MDV),11,10,0,142,14.2,174,81.6,8,3
397,Sajid Cheema (KSA),7,7,0,142,20.28,137,103.6,12,6
398,Umar Amin (PAK),14,9,0,142,15.77,123,115.44,15,4
399,Faran Afzal (ESP),9,8,1,141,20.14,140,100.7,11,6
400,A Otwani (UGA),7,7,0,141,20.14,125,112.8,19,2
401,Waheed Ahmed (UAE),15,13,6,141,20.14,111,127.0,7,11
402,PBB Rajapaksa (SL),7,6,1,140,28.0,107,130.9,8,9
403,Riazat Ali Shah (UGA),4,4,2,140,70.0,108,129.6,8,8
404,AC Douglas (BER),10,9,1,138,17.25,131,105.3,10,8
405,LB Ferbrache (GUE),10,9,1,138,17.25,143,96.5,6,3
406,JL Ontong (SA),11,8,0,138,17.25,81,170.4,6,11
407,J Mees (LUX),8,7,3,137,34.25,114,120.2,20,1
408,HH Patel (MWI),7,6,1,137,27.4,104,131.8,17,3
409,R Tari (VAN),14,14,5,137,15.22,117,117.06,6,5
410,Yusuf Ebrahim (PAN),3,3,1,137,68.5,97,141.2,14,5
411,D Pretorius (SA),11,6,2,135,33.75,80,168.8,11,6
412,MNM Aslam (KUW),11,7,2,134,26.8,133,100.75,12,2
413,CT Mutombodzi (ZIM),15,14,3,134,12.18,144,93.06,9,2
414,CH Morris (SA),23,13,4,133,14.77,102,130.4,12,5
415,DDP D'Silva (UAE),10,8,4,130,32.5,146,89.06,9,0
416,NL McCullum (NZ),38,25,7,130,7.22,139,93.5,9,3
417,LJ Tucker (IRE),17,14,1,130,10.0,126,103.2,13,1
418,JA Morkel (SA),19,13,5,129,16.12,92,140.2,3,10
419,HR Walsh (USA/WI),17,10,2,128,16.0,130,98.44,8,3
420,Imran Ali Butt (BHR),8,8,0,127,15.87,132,96.2,6,6
421,NN Odhiambo (KENYA),15,14,2,127,10.58,108,117.56,14,4
422,JD Ryder (NZ),5,4,1,127,42.34,88,144.2,13,4
423,MWR Stokes (GUE),9,7,0,127,18.14,152,83.56,10,0
424,Najjam Shahzad (PORT),4,3,2,126,126.0,97,129.9,4,10
425,Muhammad Naeem (KSA),7,6,2,125,31.25,126,99.2,7,3
426,Mohammed Asghar (KUW),4,4,0,124,31.0,91,136.2,13,5
427,BA Pai (GIBR),4,4,0,124,31.0,141,87.94,6,1
428,R Ashwin (IND),44,11,7,123,30.75,115,106.94,14,1
429,PW Hasaranga (SL),13,11,4,123,17.56,104,118.25,11,0
430,SM Sharif (SCOT),42,18,9,123,13.66,100,123.0,8,3
431,AW Hawkins-Kay (JER),16,13,5,122,15.25,136,89.7,8,0
432,KM Jadhav (IND),9,6,0,122,20.33,99,123.25,12,3
433,Mohammad Mithun (BAN),15,11,1,122,12.2,128,95.3,10,4
434,Muhamad Syahadat (MAS),10,9,3,122,20.33,102,119.6,9,6
435,CN Onwuzulike (NGA),9,9,1,122,15.25,126,96.8,5,5
436,Usman Patel (KUW),5,4,1,122,40.66,91,134.0,20,0
437,Wahidullah Usmani (Belg),4,4,0,122,30.5,110,110.9,13,2
438,DAJ Bracewell (NZ),18,10,5,121,24.2,83,145.8,6,9
439,KH Pandya (IND),18,9,4,121,24.2,92,131.5,8,6
440,Imrul Kayes (BAN),12,11,0,119,10.81,126,94.44,14,3
441,Naseem Khushi (OMA),13,9,2,119,17.0,82,145.1,6,8
442,AA Onikoyi (NGA),9,8,0,119,14.87,144,82.6,8,4
443,CA Ingram (SA),5,5,0,118,23.6,94,125.5,12,4
444,Janak Prakash (SGP),15,13,5,118,14.75,92,128.2,9,5
445,Shamsudheen Purat (KSA),6,5,1,118,29.5,77,153.2,12,7
446,Mehran Khan (OMA),19,13,2,117,10.63,106,110.4,7,5
447,Ziaur Rahman (BAN),14,12,3,117,13.0,91,128.6,3,10
448,Aritra Dutta (SGP),8,8,0,116,14.5,114,101.75,8,5
449,A Bagai (CAN),2,2,1,115,115.0,101,113.9,12,0
450,K Motlhanka (BOT),7,7,0,115,16.42,123,93.5,11,2
451,MJ Richardson (GER),5,5,3,115,57.5,97,118.56,14,1
452,Sami Sohail (MWI),7,5,4,115,115.0,97,118.56,10,2
453,HS Gericke (MLT),3,2,0,114,57.0,72,158.4,11,3
454,S Kaveri (Mex),7,6,1,114,22.8,146,78.06,9,1
455,D Muhumuza (UGA),7,7,1,114,19.0,94,121.25,9,4
456,WD Parnell (SA),30,13,9,114,28.5,96,118.75,10,3
457,Afif Hossain (BAN),12,9,0,113,12.55,93,121.5,11,2
458,M Abdulla (MWI),5,5,2,112,37.34,100,112.0,11,2
459,FA Allen (WI),16,12,3,112,12.44,96,116.7,9,6
460,SP Khakurel (NEP),8,8,0,112,14.0,139,80.56,10,1
461,JS Malhotra (USA),6,6,0,112,18.66,104,107.7,12,2
462,Mohammad Boota (UAE),16,12,4,112,14.0,100,112.0,7,5
463,Mudassar Muhammad (GER),7,7,0,112,16.0,135,82.94,5,3
464,AP Devcich (NZ),4,4,0,111,27.75,79,140.5,17,2
465,JO Holder (WI),17,11,2,111,12.33,84,132.1,10,4
466,JNK Shannon (IRE),8,8,0,111,13.87,84,132.1,12,5
467,A Lark (Aut),5,4,0,110,27.5,121,90.9,15,0
468,Anwar Ali (PAK),15,11,4,109,15.57,77,141.5,6,6
469,BOP Fernando (SL),6,5,1,109,27.25,87,125.25,11,3
470,T van der Gugten (NED),39,11,4,109,15.57,81,134.5,4,6
471,Mohammad Saifuddin (BAN),15,9,3,108,18.0,95,113.7,9,3
472,OGL Bascome (BER),11,11,1,107,10.7,117,91.44,12,3
473,W Madhevere (ZIM),5,5,1,107,26.75,90,118.9,13,2
474,SO Ngoche (KENYA),24,17,5,107,8.91,117,91.44,5,4
475,GJ Thompson (IRE),10,8,1,107,15.28,108,99.06,14,1
476,K Doriga (PNG),17,11,1,106,10.6,103,102.94,3,3
477,NA Maiolo (ITA),8,7,1,106,17.66,104,101.94,11,2
478,Wahab Riaz (PAK),31,15,4,106,9.63,89,119.1,7,4
479,MD Dai (PNG),9,8,0,105,13.12,128,82.0,4,0
480,JL Denly (ENG),8,7,2,105,21.0,89,118.0,13,1
481,S Dube (IND),13,9,3,105,17.5,77,136.4,7,6
482,OJ Hairs (SCOT),8,8,1,105,15.0,64,164.0,4,10
483,Haroon Mughal (MLT),7,5,0,105,21.0,78,134.6,6,5
484,ND Laegsgaard (DEN),9,8,1,105,15.0,96,109.4,11,2
485,M Mosehle (SA),7,6,1,105,21.0,65,161.5,6,9
486,Suraj Kumar (OMA),16,10,2,105,13.12,94,111.7,9,3
487,Meet Bhavsar (KUW),9,7,1,104,17.33,88,118.2,10,1
488,LA Dunbar (SRB),2,2,1,104,104.0,62,167.8,5,10
489,Khizar Hayat (MAS),9,8,2,104,17.33,83,125.3,10,2
490,P Sarraf (NEP),12,11,2,104,11.55,111,93.7,12,4
491,Sultan Ahmed (OMA),17,12,3,104,11.55,83,125.3,14,0
492,Khushdil Shah (PAK),7,7,3,103,25.75,89,115.75,11,3
493,I Liyanage (QAT),7,7,1,103,17.16,98,105.1,10,4
494,DJ Mitchell (NZ),12,11,3,103,12.87,86,119.75,6,4
495,Abdul-Shakoor Rahimzei (GER),9,7,1,102,17.0,86,118.6,7,3
496,Rehman Abdul (ITA),7,5,3,102,51.0,103,99.0,7,3
497,G Chaturvedi (MLT),5,4,0,101,25.25,75,134.6,14,1
498,IA De Silva (BUL),6,5,0,101,20.2,85,118.8,6,4
499,DF Jacobs (THA),8,8,0,101,12.62,149,67.75,12,2
500,S Jora (NEP),6,6,1,101,20.2,83,121.7,5,4
501,AV Lalcheta (OMA),17,10,2,101,12.62,82,123.2,9,4
502,Mohammed Nurji (MWI),6,5,3,101,50.5,59,171.1,8,6
503,T Perera (BOT),6,6,0,101,16.83,127,79.5,16,0
504,V Shankar (IND),9,4,0,101,25.25,73,138.4,11,5
505,Hamza Tariq (CAN),15,11,1,100,10.0,82,121.94,4,5
506,Razmal Shigiwal (Aut),5,3,0,100,33.34,78,128.2,3,8
507,BS Stephenson (Blz),3,3,0,100,33.34,72,138.9,9,7
508,RV Uthappa (IND),4,4,2,100,50.0,82,121.94,12,0
509,Ahmed Raza (UAE),41,16,7,99,11.0,130,76.1,2,4
510,BR Dunk (AUS),5,5,0,99,19.8,69,143.5,8,6
511,BFW de Leede (NED),8,7,1,98,16.33,114,85.94,4,2
512,Irfan Bhima (MWI),4,4,0,98,24.5,88,111.4,13,2
513,BR McDermott (AUS),12,10,3,98,14.0,105,93.3,6,2
514,G Manan (ROM),6,5,0,98,19.6,73,134.2,14,3
515,TK Musakanda (ZIM),6,6,0,98,16.33,80,122.5,7,2
516,T Whiteman (LUX),8,6,3,98,32.66,67,146.2,10,1
517,Amir Ali (OMA),10,8,3,97,19.4,65,149.2,11,2
518,Mohammad Nadeem (OMA),25,14,3,97,8.81,111,87.4,7,1
519,Muhammad Kaleem (UAE),9,9,0,97,10.77,116,83.6,9,3
520,S Samarawickrama (SL),7,7,0,97,13.85,93,104.3,9,0
521,AJ Staal (NED),9,8,2,97,16.16,79,122.75,5,5
522,GM Strydom (CAY),6,6,0,97,16.16,89,109.0,6,5
523,F Akankwasa (UGA),3,3,0,95,31.66,53,179.2,7,8
524,Z Hoque (THA),7,7,1,95,15.83,98,96.94,6,4
525,Mehidy Hasan Miraz (BAN),13,11,2,94,10.44,80,117.5,7,4
526,JJ Tucker (BER),5,5,1,94,23.5,97,96.9,11,1
527,J Cutinho (CRC),3,3,0,93,31.0,98,94.9,7,4
528,Mohammad Amin (KUW),9,7,3,93,23.25,92,101.06,8,2
529,MA Ouma (KENYA),12,12,1,93,8.45,114,81.56,11,1
530,Walid Ghauri (NOR),4,4,1,93,31.0,80,116.25,10,2
531,A Ashokan (CZK-R),6,6,0,92,15.33,83,110.8,5,4
532,SC Getkate (IRE),15,13,2,92,8.36,83,110.8,4,4
533,H Patel (CAN),7,7,0,92,13.14,110,83.6,7,0
534,AL Phehlukwayo (SA),27,15,5,92,9.2,86,107.0,10,3
535,MC Sorensen (IRE),26,11,6,92,18.4,79,116.44,4,3
536,DT Tiripano (ZIM),13,9,2,92,13.14,86,107.0,4,5
537,D Wiese (SA),20,11,4,92,13.14,75,122.7,4,3
538,JF Mooney (IRE),14,11,5,91,15.16,70,130.0,12,1
539,CR Woakes (ENG),8,7,4,91,30.33,63,144.5,4,5
540,JN Mohammed (WI),9,8,3,90,18.0,103,87.4,9,1
541,Sagar Pun (NEP),9,9,0,90,10.0,100,90.0,13,0
542,GH Worker (NZ),2,2,0,90,45.0,64,140.6,6,5
543,S Adedeji (NGA),6,6,2,89,22.25,114,78.06,5,2
544,J Barker (LUX),7,6,0,89,14.83,105,84.75,10,1
545,BJ Hodge (AUS),7,6,2,89,22.25,67,132.9,4,4
546,Sandeep Goud (OMA),15,8,3,89,17.8,90,98.9,4,3
547,A Ferguson (Arg),5,3,1,88,44.0,100,88.0,5,1
548,N Madziva (ZIM),15,10,5,88,17.6,80,110.0,4,5
549,Md Shafiqul Haque (THA),4,4,0,88,22.0,62,141.9,5,6
550,Zishan Shah (DEN),6,5,1,88,22.0,87,101.1,7,1
551,PS Airee (NEP),11,11,0,87,7.9,93,93.56,10,1
552,J Botha (SA),15,6,1,87,17.4,72,120.8,6,4
553,Mandeep Singh (IND),3,3,1,87,43.5,73,119.2,11,1
554,XM Marshall (USA),7,7,0,87,12.42,108,80.56,5,2
555,Raza Iqbal (NOR),5,5,0,87,17.4,89,97.75,13,0
556,DI Allan (KENYA),10,10,0,86,8.6,135,63.7,7,0
557,KC D'Souza (BUL),7,6,3,86,28.66,75,114.7,6,3
558,AR Gandhi (KENYA),3,3,1,86,43.0,98,87.75,5,1
559,Mamoon Latif (Belg),7,7,0,86,12.28,97,88.6,4,3
560,P Mishra (BUL),10,9,1,86,10.75,61,141.0,7,6
561,Shamsur Rahman (BAN),9,8,0,86,10.75,85,101.2,12,1
562,H Lakov (BUL),6,6,1,85,17.0,86,98.8,6,0
563,K Mendon (CZK-R),11,7,5,85,42.5,92,92.4,5,2
564,DP Michael (Samoa),4,4,1,85,28.33,82,103.6,1,6
565,AR Nurse (WI),13,8,6,85,42.5,71,119.7,7,3
566,MD Patel (USA),8,8,1,85,12.14,88,96.56,6,4
567,Sulaiman Ali (BUL),6,6,0,85,14.16,77,110.4,6,5
568,RML Taylor (SCOT),9,6,3,85,28.33,58,146.5,6,4
569,SO Tikolo (KENYA),4,4,0,85,21.25,54,157.4,15,2
570,N Khosla (MLT),4,4,0,84,21.0,95,88.44,3,2
571,IO Okpe (NGA),8,8,0,84,10.5,109,77.06,2,2
572,JH Davey (SCOT),21,10,5,83,16.6,63,131.8,5,3
573,PF Gallagher (FIN),3,3,0,83,27.66,68,122.06,4,5
574,Manpreet Singh (ITA),8,6,0,83,13.83,98,84.7,10,1
575,SV Samson (IND),7,7,0,83,11.85,70,118.56,3,4
576,SCJ Broad (ENG),27,15,5,82,8.2,89,92.1,4,2
577,FA Cossa (MOZ),6,6,2,82,20.5,90,91.1,6,4
578,AS Hansra (CAN),8,8,2,82,13.66,85,96.5,4,3
579,T Maruma (ZIM),9,9,4,82,16.4,77,106.5,5,4
580,AK Mohan (FIN),5,5,0,82,16.4,72,113.9,9,1
581,Muhammad Awais (GRC),3,3,2,82,82.0,59,139.0,12,1
582,Shaikh Ashraf (Peru),4,4,0,82,20.5,67,122.4,8,3
583,RM Siri (Arg),4,4,1,82,27.33,80,102.5,6,1
584,Aaron Jones (USA),8,7,3,81,20.25,81,100.0,3,2
585,MO Jones (BER),8,7,2,81,16.2,83,97.56,5,3
586,Mohamed Azzam (MDV),10,9,2,81,11.57,86,94.2,8,0
587,TD Paine (AUS/World),9,7,1,81,13.5,71,114.06,7,3
588,RJ Peterson (SA),15,9,4,81,16.2,72,112.5,10,0
589,V Sehwag (IND),5,5,0,81,16.2,67,120.9,9,2
590,Ahsan Abbasi (HKG),6,6,0,80,13.33,87,91.94,7,2
591,Bilal Tahir (KUW),7,7,1,80,13.33,64,125.0,9,2
592,DAP Darrell (BER),11,10,1,80,8.88,95,84.2,1,5
593,Faizan Asif (UAE),6,6,0,80,13.33,64,125.0,9,3
594,Ijaz Hussain (ROM),5,3,0,80,26.66,76,105.25,7,6
595,Kuldeep Lal (ESP),10,4,0,80,20.0,57,140.4,6,2
596,RK Paudel (NEP),11,10,2,80,10.0,89,89.9,7,0
597,CP Rizwan (UAE),5,4,0,80,20.0,73,109.56,10,1
598,IR Bell (ENG),3,3,0,79,26.33,64,123.44,9,1
599,CK Coventry (ZIM),8,8,1,79,11.28,62,127.44,10,2
600,ZE Green (NAM),16,11,3,79,9.87,78,101.25,4,3
601,SC Kuggeleijn (NZ),16,8,4,79,19.75,37,213.5,5,7
602,Umar Gul (PAK),26,12,3,79,8.77,74,106.75,6,5
603,CD Barnwell (WI),6,6,2,78,19.5,62,125.8,4,4
604,Nurul Hasan (BAN),9,8,4,78,19.5,63,123.8,9,0
605,JDP Oram (NZ),9,6,2,78,19.5,53,147.1,9,2
606,Sahir Naqash (GER),8,6,1,78,15.6,62,125.8,2,5
607,GG Banner (Blz),3,3,1,77,38.5,65,118.44,1,8
608,Mirwais Ashraf (AFG),19,15,7,77,9.62,77,100.0,4,3
609,SA Wijeyeratne (CAN),2,2,0,77,38.5,51,151.0,12,0
610,DR Hooper (GUE),9,8,3,76,15.2,91,83.5,3,1
611,Irfan Ahmed (HKG),8,8,0,76,9.5,83,91.56,4,6
612,HB Kayondo (UGA),3,3,0,76,25.33,69,110.1,2,4
613,EB Knowles (CZK-R),11,10,3,76,10.85,105,72.4,9,0
614,C Munoz-Mills (ESP),11,8,4,76,19.0,71,107.06,5,3
615,Rizwan Mahmood (DEN),5,4,0,76,19.0,61,124.56,3,3
616,AC Voges (AUS),3,2,1,76,76.0,62,122.56,2,2
617,NR Kirton (CAN),5,5,2,75,25.0,83,90.4,4,1
618,IS Sodhi (NZ),50,8,4,75,18.75,66,113.6,4,5
619,AR Cusack (IRE),21,10,5,74,14.8,58,127.56,10,1
620,Hirenkumar Patel (Chile),4,4,0,74,18.5,82,90.25,9,1
621,S Hirugade (Mex),6,6,0,74,12.33,86,86.06,8,2
622,SI Runsewe (NGA),6,6,1,74,14.8,87,85.06,4,0
623,G Venkateswaran (LUX),3,3,1,74,37.0,58,127.56,10,1
624,J Vira (VAN),14,12,4,74,9.25,68,108.8,7,2
625,TS Fray (BER),10,10,1,73,8.11,96,76.06,9,0
626,Khurram Khan (UAE),3,3,0,73,24.33,73,100.0,8,0
627,AR McBrine (IRE),19,11,5,73,12.16,70,104.25,6,1
628,SL Malinga (SL),55,21,5,73,4.56,98,74.5,6,2
629,AM Oyede (NGA),8,8,1,73,10.42,104,70.2,5,1
630,Sazzad Hosen (Belg),4,4,0,73,18.25,74,98.6,9,0
631,RA Thomas (CAN),8,8,1,73,10.42,95,76.8,7,1
632,Yousef Shadzehisarjou (Iran),3,3,0,73,24.33,106,68.9,9,0
633,A Pusthay (FIN),5,5,0,72,14.4,60,120.0,5,1
634,AS Wright (GUE),8,7,0,72,10.28,84,85.7,6,3
635,JE Taylor (WI),13,6,1,71,14.2,54,131.5,7,4
636,T Taylor (CAY),6,6,2,71,17.75,91,78.0,2,5
637,Abdul Hashmi (DEN),8,5,1,70,17.5,66,106.06,4,0
638,Awais Zia (PAK),5,5,0,70,14.0,80,87.5,4,3
639,FF Mulivai (Samoa),4,4,0,70,17.5,37,189.1,2,8
640,T Taibu (ZIM),4,3,1,70,35.0,59,118.6,6,1
641,Hafez Farooq (Peru),4,4,0,69,17.25,67,103.0,7,2
642,C Hauptfleisch (CAY),5,5,0,69,13.8,85,81.2,4,2
643,Ibrarul Haq (KSA),5,4,0,69,17.25,47,146.8,6,4
644,TB Sole (SCOT),9,6,2,69,17.25,43,160.5,9,1
645,J Umanath (Mex),7,7,1,69,11.5,77,89.6,7,2
646,R Ankad (Mex),8,7,3,68,17.0,72,94.44,7,0
647,Dawlat Zadran (AFG),34,17,8,68,7.55,42,161.9,4,6
648,R Escobar (Arg),5,4,1,68,22.66,76,89.5,6,1
649,AR Patel (IND),11,7,3,68,17.0,54,125.94,3,3
650,Sikander Zulfiqar (NED),11,8,1,68,9.71,68,100.0,5,0
651,JNT Vare (PNG),8,7,0,68,9.71,71,95.75,4,0
652,C Viljoen (NAM),12,7,3,68,17.0,70,97.1,7,1
653,TN de Grooth (NED),8,8,4,67,16.75,70,95.7,6,0
654,BJ Haddin (AUS),11,8,2,67,11.16,51,131.4,4,3
655,AJ Michael (Samoa),4,4,1,67,22.33,69,97.1,5,2
656,Zawar Farid (UAE),4,4,0,67,16.75,53,126.44,5,3
657,Abraash Khan (CAN),7,4,0,66,16.5,60,110.0,7,1
658,PHKD Mendis (SL),4,4,0,66,16.5,46,143.5,6,3
659,Mirza Ahsan (Aut),4,4,3,66,66.0,26,253.9,4,7
660,Shahbaz Badar (BHR),5,5,0,66,13.2,72,91.7,9,0
661,J Bulele (MOZ),7,7,0,65,9.28,95,68.44,8,0
662,V Saini (ROM),4,3,1,65,32.5,40,162.5,1,4
663,Abdul Waheed (KSA),3,3,1,64,32.0,40,160.0,11,2
664,Anique Uddin (DEN),6,6,0,64,10.66,79,81.0,3,0
665,Ansar Iqbal (NOR),4,4,0,64,16.0,72,88.9,6,1
666,B Arora (MLT),4,4,0,64,16.0,64,100.0,5,3
667,K Birkenstock (NAM),4,2,0,64,32.0,33,193.9,7,4
668,AG Cremer (ZIM),22,16,5,64,5.81,96,66.7,2,0
669,DP Hyatt (WI),5,5,1,64,16.0,54,118.5,4,4
670,A Natubhai Ahir (PAN),3,3,0,64,21.33,59,108.5,10,1
671,Sadeeq Khan (ROM),3,3,1,64,32.0,42,152.4,3,6
672,Usman Waheed (KUW),6,4,1,64,21.33,61,104.94,6,1
673,V Balakrishnan (BOT),3,3,1,63,31.5,82,76.8,6,1
674,LJ Barker (GUE),10,8,0,63,7.87,69,91.3,8,0
675,Imran Ismail (MOZ),7,7,0,63,9.0,58,108.6,7,3
676,RG Mukasa (UGA),6,6,0,63,10.5,99,63.62,2,2
677,Sultan Ahmed (UAE),22,13,5,63,7.87,61,103.25,1,4
678,Kushal Malla (NEP),6,5,1,62,15.5,49,126.5,9,2
679,GP Swann (ENG),19,8,5,62,20.66,53,117.0,7,1
680,OD Hald (DEN),9,8,1,61,8.71,57,107.0,4,2
681,Hasan Ali (PAK),30,10,5,61,12.2,35,174.2,3,5
682,R Nehonde (BOT),7,7,1,61,10.16,79,77.2,3,1
683,NM Odhiambo (KENYA),15,8,2,61,10.16,94,64.9,4,1
684,Saeed Ajmal (PAK),35,13,5,61,7.62,57,107.0,5,1
685,A Sathya (Mex),3,3,0,61,20.33,61,100.0,3,2
686,PH Shamdasani (Peru),4,4,1,61,20.33,72,84.75,3,1
687,AJ Tye (AUS),28,11,5,61,10.16,55,110.9,4,3
688,M Vijay (IND),3,3,0,61,20.33,42,145.2,8,2
689,DE Budge (SCOT),6,4,2,60,30.0,59,101.7,2,3
690,LM Jongwe (ZIM),8,7,0,60,8.57,65,92.3,4,1
691,J Kila (PNG),12,5,3,60,30.0,31,193.5,4,5
692,Mohammad Adnan (KSA),5,3,3,60,0.0,0,0.0,4,5
693,Mominul Haque (BAN),6,4,1,60,20.0,50,120.0,5,2
694,K Waiswa (UGA),3,3,0,60,20.0,47,127.6,6,2
695,Zameer Khan (DEN),2,2,1,60,60.0,61,98.4,4,0
696,Zeeshan Siddiqui (OMA),5,5,1,60,15.0,63,95.25,7,0
697,Ariful Haque (BAN),9,8,4,59,14.75,61,96.75,4,0
698,Hayatullah Niazi (NOR),4,4,1,59,19.66,47,125.5,3,3
699,Muhammad Saleem (BRA),4,4,0,59,14.75,54,109.25,5,1
700,AK Perera (SL),6,5,0,59,11.8,65,90.75,5,1
701,SN Thakur (IND),17,3,2,59,59.0,30,196.6,3,4
702,C Zavoiu (ROM),7,5,0,59,11.8,79,74.7,4,0
703,Aamer Ikram (PORT),4,4,0,58,14.5,73,79.44,4,4
704,Abu Hider (BAN),13,5,4,58,58.0,43,134.9,5,4
705,D Heyliger (CAN),11,7,5,58,29.0,42,138.1,2,3
706,JJ Huo (MOZ),7,7,0,58,8.28,61,95.06,7,2
707,WB Rankin (ENG/IRE),44,13,7,58,9.66,64,90.6,3,3
708,P Utseya (ZIM),22,13,6,58,8.28,69,84.06,4,1
709,Fayyaz Butt (OMA),14,6,4,57,28.5,48,118.75,4,2
710,C Jonker (SA),2,2,0,57,28.5,29,196.5,5,3
711,A Makesh (KUW),4,2,1,57,57.0,41,139.0,3,4
712,GP Meade (ITA),8,5,0,57,11.4,63,90.5,4,1
713,A Sarma (GER),4,3,0,57,19.0,67,85.06,3,1
714,Sohag Gazi (BAN),10,7,3,57,14.25,59,96.6,3,1
715,AJ Turner (AUS),11,7,3,57,14.25,57,100.0,1,2
716,Amjad Sher (FIN),5,5,0,56,11.2,36,155.5,1,4
717,M Dixit (LUX),5,3,0,56,18.66,62,90.3,6,2
718,P Manning (CAY),6,6,1,56,11.2,89,62.9,4,0
719,MJ Ross (ITA),8,5,1,56,14.0,42,133.4,2,3
720,SMSM Senanayake (SL),24,12,6,56,9.33,66,84.8,3,1
721,DF Watts (SCOT),3,3,0,56,18.66,49,114.25,3,1
722,Abrar Bilal (Aut),4,3,1,55,27.5,43,127.9,7,2
723,D Ajekun (NGA),6,6,0,55,9.16,81,67.9,6,1
724,C Carter (HKG),10,5,1,55,13.75,63,87.3,3,0
725,KM Jarvis (ZIM),22,12,5,55,7.85,64,85.94,1,4
726,OE Newey (GUE),7,6,1,55,11.0,66,83.3,2,0
727,JW Chilia (VAN),14,7,4,54,18.0,54,100.0,3,3
728,TK Curran (ENG),27,11,7,54,13.5,47,114.9,0,4
729,JSE Dunford (JER),17,9,3,54,9.0,67,80.56,2,0
730,MSS Mandy (Chile),4,4,0,54,13.5,67,80.56,8,0
731,SMA Priyanjan (SL),3,3,2,54,54.0,62,87.06,1,2
732,Aphsal Ashraf (KUW),5,3,1,53,26.5,32,165.6,1,5
733,S Jamil (Belg),6,6,0,53,8.83,65,81.5,6,2
734,Usman Limbada (CAN),4,3,2,53,53.0,41,129.2,6,0
735,MRJ Watt (SCOT),35,11,6,53,10.6,40,132.5,6,1
736,TS Bharaj (DEN),9,8,0,52,6.5,77,67.5,2,0
737,G Caisley (BRA),4,4,0,52,13.0,59,88.1,3,2
738,SJ Cotter (Samoa),4,4,0,52,13.0,62,83.9,4,1
739,IDA Damarell (GUE),1,1,0,52,52.0,31,167.8,6,3
740,Fitri Sham (MAS),22,13,5,52,6.5,67,77.6,2,1
741,RP Magar (NEP),6,6,0,52,8.66,89,58.4,0,3
742,A Manousis (GRC),3,3,1,52,26.0,49,106.1,5,1
743,DM Nakrani (UGA),4,4,1,52,17.33,48,108.3,2,3
744,Ovais Yousof (NGA),3,3,0,52,17.33,70,74.25,5,0
745,Anasim Khan (BHR),8,6,1,51,10.2,52,98.06,2,1
746,TGJ Gruijters (NED),8,5,3,51,25.5,47,108.5,3,1
747,Junaid Aziz (BHR),4,3,1,51,25.5,43,118.6,6,1
748,V Mbazo (BOT),4,3,1,51,25.5,67,76.1,3,0
749,Z Arinaitwe (UGA),6,6,0,50,8.33,60,83.3,8,1
750,Hilal Ahmad (CZK-R),10,10,2,50,6.25,67,74.6,2,0
751,Md Nurul Huda (FIN),5,4,2,50,25.0,32,156.2,4,2
752,Ameel Mauroof (MDV),13,10,5,49,9.8,68,72.06,3,0
753,A Dananjaya (SL),22,12,4,49,6.12,57,85.94,6,0
754,JN Frylinck (NAM),14,7,4,49,16.33,47,104.25,2,1
755,Junaid Siddiqui (CAN),13,7,3,49,12.25,41,119.5,2,2
756,Nanda Kumar (CRC),3,3,0,49,16.33,58,84.5,3,2
757,DA Rankin (IRE),2,2,0,49,24.5,54,90.75,3,2
758,DC Smith (PHI),4,4,1,49,16.33,53,92.44,5,0
759,HS Baidwan (CAN),6,5,0,48,9.6,42,114.25,4,1
760,PJ Cummins (AUS),30,13,6,48,6.85,42,114.25,3,2
761,D Klein (GER),2,2,2,48,0.0,0,0.0,4,2
762,Muhammad Nadeem (KSA),5,3,0,48,16.0,49,97.94,7,1
763,MIA Patel (MWI),3,2,1,48,48.0,44,109.06,6,1
764,Qalandar Khan (QAT),4,3,0,48,16.0,43,111.6,2,3
765,Ravinder Singh (MLT),5,3,0,48,16.0,31,154.9,3,3
766,YSD Seneveratne (CAY),6,6,0,48,8.0,79,60.75,5,1
767,J Singye (BHU),2,2,0,48,24.0,64,75.0,2,0
768,ES Szwarczynski (NED),6,5,1,48,12.0,58,82.75,4,0
769,Abdul Razzaq (PAK),6,5,1,47,11.75,63,74.6,4,1
770,M Aboagye (GHA),3,3,1,47,23.5,53,88.7,3,0
771,VD Adewoye (NGA),7,6,2,47,11.75,42,111.9,4,2
